id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156
200814_at	PSME1	11.8780	11.8445	11.9908	12.0073	12.1416	11.5001	11.9644	11.4434
218597_s_at	CISD1	11.3316	11.0268	11.2545	10.9552	11.4168	10.7300	11.2336	10.6822
217140_s_at	VDAC1	12.4884	12.5774	12.5458	12.5774	10.8138	12.4329	12.6456	12.7736
209253_at	SORBS3	7.6068	7.3755	7.6518	8.8240	7.7438	8.6801	8.4726	7.9614
214404_x_at	SPDEF	8.4794	8.6308	8.4536	8.1731	8.6508	8.1395	7.6098	8.5493
222103_at	ATF1	6.8489	7.3183	7.0577	7.1566	7.3647	6.9344	7.4519	5.7483
219888_at	SPAG4	5.4521	5.5614	5.4695	6.1572	4.8038	5.1780	4.9508	7.1247
207042_at	E2F2	4.5453	4.6011	4.4729	4.5569	4.1786	13.6017	4.8038	4.1981
201453_x_at	RHEB	13.0776	13.1881	13.1881	13.2723	13.3460	13.4131	13.3460	13.1376
203627_at	IGF1R	6.4955	8.2706	6.7926	7.9952	8.1667	8.1395	7.2256	7.9736
204087_s_at	SLC5A6	8.1556	6.5369	8.6778	6.6418	6.8667	6.5004	8.3021	6.7373
204131_s_at	FOXO3	7.2977	7.4421	6.9967	7.4333	7.2606	7.7638	7.0752	8.1933
202388_at	RGS2	6.3062	5.4798	5.9744	6.5320	5.3428	7.1534	4.9726	5.8767
204418_x_at	GSTM2	6.0442	6.2691	5.0141	5.8767	6.2229	6.2421	6.1142	5.8919
205607_s_at	SCYL3	4.7250	5.2635	6.6056	4.9060	5.2972	5.4998	5.3663	5.3352
200059_s_at	RHOA	9.2718	9.3471	9.3763	9.2234	9.6660	9.8312	9.5906	9.6456
213417_at	TBX2	4.7895	4.7752	5.0647	4.6928	5.0533	5.3663	4.8658	5.7871
205963_s_at	DNAJA3	12.6456	11.4048	11.3157	10.9973	10.6769	11.5829	11.7018	12.4083
205067_at	IL1B	5.8251	4.3092	4.8918	5.0440	4.4451	4.0469	4.1367	6.0379
213702_x_at	ASAH1	7.9853	7.2725	7.7605	7.6971	8.2096	5.8568	7.8697	7.8503
212851_at	DCUN1D4	6.5725	8.1395	6.7771	6.4012	6.9181	8.1160	6.7583	7.2233
210151_s_at	DYRK3	7.1566	6.4639	6.6841	6.5853	6.6301	5.8919	6.5236	7.6602
214435_x_at	RALA	8.6914	8.6014	9.0861	8.9236	9.2151	8.8969	8.9029	9.7808
201334_s_at	ARHGEF12	9.8238	10.0220	9.9587	9.6293	9.9103	9.6314	9.5526	8.6661
205811_at	POLG2	7.5598	8.1445	7.8477	10.1850	8.1395	9.5267	7.5800	7.8632
213721_at	SOX2	7.8043	7.3183	6.8616	6.8757	7.3942	6.9833	7.0464	8.0536
203512_at	TRAPPC3	10.8860	10.8538	10.5678	10.9696	10.9973	11.2692	10.9447	11.2692
202627_s_at	SERPINE1	11.0752	11.3119	10.9973	11.0517	11.5896	10.9628	11.2952	10.7575
204849_at	TCFL5	6.7082	7.1986	7.3717	6.9687	7.5358	7.3942	7.2211	5.9744
202224_at	CRK	9.5428	9.6943	9.4707	9.4123	9.6998	9.5618	9.5081	9.3042
217478_s_at	HLA-DMA	5.3352	5.7871	5.6302	5.4798	5.1885	6.0629	5.7540	5.3663
206254_at	EGF	3.4111	4.6564	4.1367	4.4590	3.7421	4.4175	4.5033	4.4881
212591_at	RBM34	5.7327	10.2674	10.1712	10.2698	10.2871	10.2491	10.4043	10.2313
203336_s_at	ITGB1BP1	10.8760	11.2239	11.0268	11.0980	11.3194	10.8390	11.0050	11.0634
203127_s_at	SPTLC2	3.9603	4.6564	3.9070	4.4590	4.8658	4.1981	4.3092	4.2356
210337_s_at	ACLY	10.9552	11.1938	11.0634	10.9628	11.0792	10.9696	11.1500	10.9552
200602_at	APP	13.7567	13.6837	13.6017	13.5117	13.6837	13.2723	13.6837	13.7567
206066_s_at	RAD51C	7.3793	5.1327	7.4519	7.5105	6.3274	7.8827	7.3755	7.5598
218245_at	TSKU	5.6178	6.9181	5.9203	6.2560	7.2211	6.4539	5.3873	5.6461
201589_at	SMC1A	9.9704	6.1518	10.0047	6.6774	10.1586	9.6754	10.1850	8.9236
218113_at	TMEM2	6.5529	6.8289	6.4012	9.8348	6.5135	6.4539	6.6301	4.5569
205581_s_at	NOS3	5.6461	5.4451	4.6696	5.4451	5.3768	5.7142	5.0985	4.8145
201351_s_at	YME1L1	9.3398	9.8906	9.7509	9.2860	9.5428	9.4367	9.3019	9.0306
214274_s_at	ACAA1	7.0890	7.1986	8.5152	7.4935	7.9146	7.3260	7.8827	7.3755
206562_s_at	CSNK1A1	8.7309	8.8656	7.2065	8.9895	9.0117	9.3019	9.1221	8.8915
208687_x_at	HSPA8	10.7620	11.1202	10.9628	11.0792	11.6167	10.8138	11.3733	10.4979
205897_at	NFATC4	4.9508	5.0050	4.2705	4.8253	4.6159	3.9603	4.5033	4.6295
214710_s_at	CCNB1	12.7736	12.6456	12.7037	12.7037	12.7736	12.7037	12.9470	12.7037
203135_at	TBP	8.9318	9.4894	9.1891	9.3974	9.2763	9.1342	9.5168	9.5541
220091_at	SLC2A6	10.3421	10.4326	10.3535	10.2871	9.9654	10.5764	10.3073	10.9447
202908_at	WFS1	7.7438	8.0814	7.7054	7.8018	7.7877	7.6235	7.6635	8.1011
203358_s_at	EZH2	9.8872	9.0695	10.1016	9.0605	9.7615	10.4180	9.2234	8.2986
212403_at	UBE3B	8.8941	10.0160	9.2576	9.6344	8.9683	8.9080	9.8796	9.4020
204949_at	ICAM3	4.5864	5.0760	4.8918	5.2543	5.4207	5.2765	5.2132	4.9508
218086_at	NPDC1	8.3642	8.2879	7.8867	7.9614	8.1751	8.3727	8.1556	8.0589
208950_s_at	ALDH7A1	8.0975	8.1106	8.0706	7.7159	7.9073	8.2215	8.1011	7.6275
204531_s_at	BRCA1	4.6928	5.3049	4.6696	5.0985	5.3207	4.7463	5.2895	4.2899
207416_s_at	NFATC3	7.6635	6.8527	6.9181	6.9181	6.6923	6.8841	7.0276	7.8955
200882_s_at	PSMD4	11.8445	11.8536	11.5590	12.1240	12.0343	11.8780	11.9328	12.1240
201202_at	PCNA	13.6837	13.5117	13.5117	13.8287	13.7567	13.6837	6.0128	12.2861
203709_at	PHKG2	6.1688	6.6471	6.1688	5.7736	6.5725	6.0228	6.9010	5.7483
206501_x_at	ETV1	8.0589	7.8735	7.5671	7.9146	8.2286	7.5976	7.9544	6.0981
212955_s_at	POLR2I	10.6011	10.3225	10.3844	10.4326	10.4180	10.4658	10.2698	9.7708
201548_s_at	KDM5B	6.1142	6.1688	6.7041	5.8500	6.1518	6.2691	5.7054	5.6178
209040_s_at	PSMB8	10.0986	10.2151	10.0463	10.2269	10.2088	5.3663	10.1935	9.4756
218064_s_at	AKAP8L	6.8197	6.5369	6.7258	8.1143	7.8735	7.0839	7.1597	7.0226
212189_s_at	COG4	7.6315	7.9819	7.6935	7.0276	6.8841	8.2836	7.9146	7.7223
201555_at	MCM3	12.5774	12.6690	12.7736	12.6224	12.6456	12.6690	12.7736	11.2885
218290_at	PLEKHJ1	9.3325	8.9516	9.0695	9.2433	9.2433	9.7215	9.0190	9.2559
203138_at	HAT1	9.2073	9.2795	9.1052	9.1404	9.4342	9.0695	9.3359	8.0128
207199_at	TERT	5.1231	5.1885	4.9326	4.9326	4.2705	5.0985	5.1621	5.2635
201503_at	G3BP1	10.2269	10.8240	10.5222	10.6074	10.9753	10.2988	10.8666	9.8551
213292_s_at	SNX13	7.0717	7.7768	6.5320	6.8757	7.3301	6.8331	7.1068	6.8489
203154_s_at	PAK4	8.9742	9.6070	9.7574	9.0190	9.4178	9.2827	9.5526	8.8240
201379_s_at	TPD52L2	9.6943	8.3478	8.9236	9.9244	10.2404	10.0675	8.7591	9.8796
