id	pr_gene_symbol	MDAMB231-ctl_vehicle-16149	MDAMB231-ctl_vehicle-16150	MDAMB231-ctl_vehicle-16151	MDAMB231-trt_cp-16152	MDAMB231-trt_cp-16153	MDAMB231-trt_cp-16154	MDAMB231-trt_cp-16155	MDAMB231-trt_cp-16156	
200814_at	PSME1	P	P	P	P	P	P	P	P	
218597_s_at	CISD1	P	P	P	P	P	P	P	P	
217140_s_at	VDAC1	P	P	P	P	P	P	P	P	
209253_at	SORBS3	P	M	P	P	M	F	P	P	
214404_x_at	SPDEF	P	P	P	P	P	F	P	P	
222103_at	ATF1	M	M	P	P	M	F	P	M	
219888_at	SPAG4	F	F	F	M	F	F	F	P	
207042_at	E2F2	F	F	F	F	F	P	F	F	
201453_x_at	RHEB	P	P	P	P	P	P	P	P	
203627_at	IGF1R	M	P	P	P	P	F	P	P	
204087_s_at	SLC5A6	P	F	P	P	F	F	P	P	
204131_s_at	FOXO3	P	M	P	P	M	F	P	P	
202388_at	RGS2	M	F	M	P	F	F	F	M	
204418_x_at	GSTM2	M	F	F	M	F	F	M	M	
205607_s_at	SCYL3	F	F	M	F	F	F	F	M	
200059_s_at	RHOA	P	P	P	P	P	M	P	P	
213417_at	TBX2	F	F	F	F	F	F	F	M	
205963_s_at	DNAJA3	P	P	P	P	P	P	P	P	
205067_at	IL1B	F	F	F	F	F	F	F	M	
213702_x_at	ASAH1	P	M	P	P	P	F	P	P	
212851_at	DCUN1D4	M	P	P	P	F	F	M	P	
210151_s_at	DYRK3	P	F	M	P	F	F	M	P	
214435_x_at	RALA	P	P	P	P	P	F	P	P	
201334_s_at	ARHGEF12	P	P	P	P	P	M	P	P	
205811_at	POLG2	P	P	P	P	P	M	P	P	
213721_at	SOX2	P	M	P	P	M	F	P	P	
203512_at	TRAPPC3	P	P	P	P	P	P	P	P	
202627_s_at	SERPINE1	P	P	P	P	P	P	P	P	
204849_at	TCFL5	M	M	P	P	M	F	P	M	
202224_at	CRK	P	P	P	P	P	M	P	P	
217478_s_at	HLA-DMA	F	F	F	M	F	F	F	M	
206254_at	EGF	F	F	F	F	F	F	F	F	
212591_at	RBM34	F	P	P	P	P	M	P	P	
203336_s_at	ITGB1BP1	P	P	P	P	P	P	P	P	
203127_s_at	SPTLC2	F	F	F	F	F	F	F	F	
210337_s_at	ACLY	P	P	P	P	P	P	P	P	
200602_at	APP	P	P	P	P	P	P	P	P	
206066_s_at	RAD51C	P	F	P	P	F	F	P	P	
218245_at	TSKU	F	M	M	P	M	F	F	M	
201589_at	SMC1A	P	F	P	P	P	M	P	P	
218113_at	TMEM2	M	F	M	P	F	F	M	F	
205581_s_at	NOS3	F	F	F	M	F	F	F	F	
201351_s_at	YME1L1	P	P	P	P	P	M	P	P	
214274_s_at	ACAA1	P	M	P	P	M	F	P	P	
206562_s_at	CSNK1A1	P	P	P	P	P	F	P	P	
208687_x_at	HSPA8	P	P	P	P	P	P	P	P	
205897_at	NFATC4	F	F	F	F	F	F	F	F	
214710_s_at	CCNB1	P	P	P	P	P	P	P	P	
203135_at	TBP	P	P	P	P	P	F	P	P	
220091_at	SLC2A6	P	P	P	P	P	P	P	P	
202908_at	WFS1	P	P	P	P	M	F	P	P	
203358_s_at	EZH2	P	P	P	P	P	P	P	P	
212403_at	UBE3B	P	P	P	P	P	F	P	P	
204949_at	ICAM3	F	F	F	M	F	F	F	F	
218086_at	NPDC1	P	P	P	P	P	F	P	P	
